# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.06
2                       4.11
4                       8.24
8                      16.47
16                     32.92
32                     65.90
64                    131.57
128                   263.15
256                   516.86
512                  1037.32
1024                 2084.82
2048                 4135.14
4096                 8213.83
8192                14342.80
16384               18925.67
32768               20976.10
65536               22116.63
131072              22703.11
262144              23034.28
524288              23194.71
1048576             23276.00
