# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.14
4                       8.27
8                      16.52
16                     33.05
32                     66.14
64                    132.19
128                   263.24
256                   517.29
512                  1032.25
1024                 2063.28
2048                 4122.56
4096                 8223.11
8192                14286.48
16384               18910.12
32768               20954.48
65536               22110.52
131072              22710.82
262144              23037.44
524288              23196.15
1048576             23276.58
