# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.04
2                       4.08
4                       8.16
8                      16.30
16                     32.66
32                     65.25
64                    130.15
128                   260.08
256                   515.69
512                  1028.58
1024                 2059.82
2048                 4112.12
4096                 8194.69
8192                14291.92
16384               18916.73
32768               20929.28
65536               22104.04
131072              22703.00
262144              23035.42
524288              23195.61
1048576             23276.32
