# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.15
4                       8.30
8                      16.61
16                     33.18
32                     66.43
64                    132.50
128                   263.05
256                   515.70
512                  1027.10
1024                 2051.49
2048                 4104.62
4096                 8188.47
8192                14080.52
16384               18928.90
32768               20939.65
65536               22113.86
131072              22709.79
262144              23037.68
524288              23195.78
1048576             23276.73
