# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.02
2                       4.06
4                       8.11
8                      16.24
16                     32.45
32                     64.96
64                    129.65
128                   258.50
256                   516.23
512                  1032.02
1024                 2064.48
2048                 4115.48
4096                 8212.42
8192                14159.92
16384               18902.43
32768               20942.13
65536               22106.53
131072              22709.57
262144              23035.42
524288              23195.56
1048576             23276.25
