# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.14
4                       8.27
8                      16.54
16                     33.05
32                     66.14
64                    131.91
128                   263.15
256                   516.05
512                  1028.24
1024                 2053.53
2048                 4108.17
4096                 8198.12
8192                14226.10
16384               18895.97
32768               20950.87
65536               22115.04
131072              22707.15
262144              23036.43
524288              23195.39
1048576             23276.10
