# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.10
4                       8.24
8                      16.46
16                     32.85
32                     65.62
64                    131.16
128                   260.86
256                   515.56
512                  1029.23
1024                 2055.10
2048                 4107.28
4096                 8194.46
8192                14065.12
16384               18892.51
32768               20938.41
65536               22095.00
131072              22705.76
262144              23035.82
524288              23195.40
1048576             23276.15
