# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.14
4                       8.30
8                      16.59
16                     33.16
32                     66.32
64                    132.25
128                   263.07
256                   513.83
512                  1027.16
1024                 2043.85
2048                 4096.67
4096                 8185.47
8192                14090.44
16384               18924.05
32768               20924.83
65536               22094.46
131072              22709.88
262144              23036.66
524288              23195.87
1048576             23276.41
