# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.04
2                       4.10
4                       8.20
8                      16.36
16                     32.70
32                     65.46
64                    130.43
128                   260.25
256                   512.46
512                  1023.97
1024                 2048.28
2048                 4086.97
4096                 8159.27
8192                14032.72
16384               18956.54
32768               20960.51
65536               22110.17
131072              22707.09
262144              23036.59
524288              23195.84
1048576             23276.44
