# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.04
2                       4.10
4                       8.20
8                      16.42
16                     32.80
32                     65.68
64                    130.83
128                   261.05
256                   515.72
512                  1028.47
1024                 2056.14
2048                 4109.57
4096                 8228.68
8192                14215.80
16384               18905.53
32768               20941.32
65536               22106.42
131072              22706.03
262144              23034.44
524288              23194.57
1048576             23275.89
