# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.15
4                       8.33
8                      16.66
16                     33.28
32                     66.55
64                    132.80
128                   263.53
256                   516.00
512                  1027.78
1024                 2052.22
2048                 4109.53
4096                 8223.19
8192                14060.66
16384               18929.54
32768               20919.12
65536               22105.37
131072              22708.56
262144              23037.89
524288              23196.16
1048576             23276.39
