# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.10
4                       8.21
8                      16.40
16                     32.69
32                     65.54
64                    131.19
128                   261.64
256                   517.15
512                  1037.70
1024                 2074.54
2048                 4131.47
4096                 8229.49
8192                14320.78
16384               18905.01
32768               20979.07
65536               22094.02
131072              22702.86
262144              23033.49
524288              23194.01
1048576             23275.58
