# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.06
2                       4.12
4                       8.27
8                      16.58
16                     33.21
32                     66.51
64                    133.00
128                   263.41
256                   518.10
512                  1031.21
1024                 2064.22
2048                 4124.34
4096                 8210.61
8192                14234.90
16384               18923.38
32768               20936.27
65536               22095.86
131072              22707.53
262144              23035.66
524288              23195.06
1048576             23276.15
