# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.10
4                       8.20
8                      16.38
16                     32.74
32                     65.48
64                    130.96
128                   261.27
256                   521.07
512                  1038.53
1024                 2074.17
2048                 4143.85
4096                 8293.52
8192                14387.42
16384               18931.70
32768               20991.91
65536               22107.78
131072              22708.73
262144              23036.11
524288              23195.63
1048576             23276.50
