# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.10
4                       8.25
8                      16.57
16                     32.85
32                     65.69
64                    131.23
128                   261.94
256                   522.88
512                  1045.40
1024                 2086.44
2048                 4162.75
4096                 8319.70
8192                14261.83
16384               18923.85
32768               20975.22
65536               22112.87
131072              22708.80
262144              23035.91
524288              23195.32
1048576             23276.29
