# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.11
4                       8.25
8                      16.52
16                     32.94
32                     65.94
64                    131.45
128                   262.66
256                   514.29
512                  1030.01
1024                 2058.38
2048                 4109.07
4096                 8192.26
8192                14293.22
16384               18898.29
32768               20968.11
65536               22115.22
131072              22711.86
262144              23036.40
524288              23195.73
1048576             23276.47
