# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.12
4                       8.22
8                      16.43
16                     32.85
32                     65.71
64                    131.38
128                   262.36
256                   520.56
512                  1043.24
1024                 2077.50
2048                 4146.63
4096                 8273.31
8192                14407.41
16384               18898.42
32768               20970.38
65536               22118.02
131072              22711.82
262144              23036.69
524288              23195.87
1048576             23276.47
