# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.14
4                       8.28
8                      16.52
16                     33.10
32                     66.28
64                    131.95
128                   263.18
256                   519.34
512                  1037.60
1024                 2075.57
2048                 4145.82
4096                 8272.10
8192                14350.74
16384               18925.61
32768               20947.01
65536               22098.80
131072              22709.76
262144              23036.34
524288              23195.74
1048576             23276.53
