# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.15
4                       8.33
8                      16.63
16                     33.03
32                     66.29
64                    133.17
128                   263.64
256                   520.00
512                  1040.02
1024                 2078.22
2048                 4153.33
4096                 8276.56
8192                14404.02
16384               18938.68
32768               20959.00
65536               22114.65
131072              22711.57
262144              23036.69
524288              23195.60
1048576             23276.40
