# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.06
2                       4.11
4                       8.29
8                      16.50
16                     32.94
32                     66.04
64                    131.62
128                   262.53
256                   518.30
512                  1034.67
1024                 2070.14
2048                 4133.79
4096                 8270.78
8192                14358.59
16384               18918.28
32768               20956.87
65536               22108.37
131072              22710.92
262144              23035.96
524288              23195.57
1048576             23276.45
