# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.11
4                       8.22
8                      16.43
16                     32.80
32                     65.61
64                    131.80
128                   262.07
256                   521.74
512                  1043.43
1024                 2083.38
2048                 4164.88
4096                 8307.22
8192                14415.93
16384               18917.22
32768               20980.01
65536               22124.85
131072              22710.37
262144              23034.92
524288              23195.08
1048576             23276.07
