# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.37
4                       2.37
8                       2.37
16                      2.37
32                      2.37
64                      2.38
128                     2.41
256                     2.97
512                     3.03
1024                    3.11
2048                    3.28
4096                    3.48
8192                    5.76
16384                   6.17
32768                   6.94
65536                   8.43
131072                 11.23
262144                 16.95
524288                 28.20
1048576                50.67
