# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.37
4                       2.37
8                       2.37
16                      2.37
32                      2.38
64                      2.38
128                     2.41
256                     2.97
512                     3.02
1024                    3.12
2048                    3.27
4096                    3.46
8192                    5.78
16384                   6.16
32768                   6.86
65536                   8.36
131072                 11.28
262144                 16.91
524288                 28.19
1048576                50.67
