# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.94
2                       3.87
4                       7.75
8                      15.51
16                     31.00
32                     62.23
64                    124.04
128                   248.75
256                   493.09
512                   981.53
1024                 1959.76
2048                 3927.43
4096                 7870.04
8192                13671.03
16384               18904.71
32768               20936.30
65536               22109.38
131072              22712.35
262144              23035.37
524288              23195.04
1048576             23276.18
