# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.94
2                       3.89
4                       7.79
8                      15.57
16                     31.09
32                     62.32
64                    124.38
128                   248.64
256                   491.50
512                   983.62
1024                 1967.66
2048                 3928.70
4096                 7839.04
8192                13485.50
16384               18873.04
32768               20911.58
65536               22092.52
131072              22704.42
262144              23032.24
524288              23193.35
1048576             23275.23
