# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.93
2                       3.87
4                       7.75
8                      15.49
16                     31.00
32                     62.03
64                    123.81
128                   247.56
256                   493.34
512                   985.77
1024                 1969.47
2048                 3946.69
4096                 7883.06
8192                13732.00
16384               18864.87
32768               20932.47
65536               22107.96
131072              22705.44
262144              23032.47
524288              23193.04
1048576             23275.07
