# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.94
2                       3.89
4                       7.78
8                      15.60
16                     31.16
32                     62.63
64                    125.04
128                   250.22
256                   492.47
512                   984.97
1024                 1968.77
2048                 3930.29
4096                 7836.82
8192                13689.59
16384               18871.46
32768               20937.17
65536               22092.29
131072              22697.09
262144              23032.07
524288              23192.88
1048576             23274.95
