# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.94
2                       3.89
4                       7.83
8                      15.73
16                     31.21
32                     62.24
64                    124.17
128                   249.38
256                   491.72
512                   982.52
1024                 1966.18
2048                 3932.08
4096                 7864.63
8192                13666.31
16384               18845.79
32768               20919.83
65536               22105.09
131072              22705.80
262144              23034.08
524288              23194.17
1048576             23275.45
