# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.95
2                       3.90
4                       7.80
8                      15.63
16                     31.53
32                     62.48
64                    124.95
128                   249.26
256                   489.27
512                   979.55
1024                 1962.29
2048                 3913.84
4096                 7827.75
8192                13595.86
16384               18892.90
32768               20944.02
65536               22113.91
131072              22713.84
262144              23033.91
524288              23194.03
1048576             23275.53
