# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.96
2                       3.91
4                       7.80
8                      15.63
16                     31.24
32                     62.42
64                    124.59
128                   249.13
256                   489.12
512                   975.48
1024                 1949.40
2048                 3909.48
4096                 7831.81
8192                13640.15
16384               18903.79
32768               20943.16
65536               22111.43
131072              22707.80
262144              23033.26
524288              23193.67
1048576             23275.36
