# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.94
2                       3.89
4                       7.79
8                      15.60
16                     31.15
32                     62.17
64                    124.25
128                   248.15
256                   489.29
512                   977.63
1024                 1954.19
2048                 3904.56
4096                 7803.60
8192                13645.07
16384               18873.85
32768               20938.18
65536               22112.71
131072              22707.85
262144              23032.85
524288              23193.72
1048576             23275.17
