# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.95
2                       3.90
4                       7.79
8                      15.57
16                     31.12
32                     62.25
64                    124.28
128                   248.11
256                   489.00
512                   975.89
1024                 1952.70
2048                 3904.06
4096                 7802.52
8192                13606.19
16384               18867.05
32768               20937.08
65536               22110.12
131072              22709.17
262144              23034.70
524288              23194.28
1048576             23275.78
