# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.94
2                       3.88
4                       7.78
8                      15.63
16                     31.07
32                     62.18
64                    124.36
128                   248.45
256                   493.31
512                   985.40
1024                 1972.15
2048                 3938.78
4096                 7878.09
8192                13697.62
16384               18852.09
32768               20931.08
65536               22096.80
131072              22701.87
262144              23031.83
524288              23193.06
1048576             23275.05
