# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.38
2                       2.37
4                       2.37
8                       2.37
16                      2.37
32                      2.37
64                      2.38
128                     2.41
256                     2.96
512                     3.02
1024                    3.10
2048                    3.27
4096                    3.45
8192                    5.78
16384                   6.18
32768                   6.88
65536                   8.33
131072                 11.22
262144                 16.87
524288                 28.19
1048576                50.68
