# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.37
4                       2.37
8                       2.37
16                      2.37
32                      2.37
64                      2.38
128                     2.40
256                     2.96
512                     3.02
1024                    3.10
2048                    3.27
4096                    3.44
8192                    5.76
16384                   6.20
32768                   6.96
65536                   8.42
131072                 11.21
262144                 16.97
524288                 28.19
1048576                50.69
