# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.38
8                       2.38
16                      2.38
32                      2.37
64                      2.38
128                     2.40
256                     2.96
512                     3.02
1024                    3.10
2048                    3.28
4096                    3.43
8192                    5.81
16384                   6.16
32768                   6.88
65536                   8.34
131072                 11.24
262144                 16.90
524288                 28.15
1048576                50.67
