# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.38
8                       2.37
16                      2.37
32                      2.37
64                      2.38
128                     2.41
256                     2.96
512                     3.02
1024                    3.11
2048                    3.28
4096                    3.42
8192                    5.76
16384                   6.21
32768                   6.94
65536                   8.41
131072                 11.26
262144                 16.88
524288                 28.18
1048576                50.69
