# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.42
4                       2.41
8                       2.41
16                      2.42
32                      2.42
64                      2.43
128                     2.45
256                     3.02
512                     3.07
1024                    3.16
2048                    3.34
4096                    3.50
8192                    5.81
16384                   6.28
32768                   6.99
65536                   8.41
131072                 11.23
262144                 17.00
524288                 28.28
1048576                50.72
