# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.42
4                       2.42
8                       2.41
16                      2.42
32                      2.42
64                      2.43
128                     2.45
256                     3.02
512                     3.07
1024                    3.15
2048                    3.33
4096                    3.49
8192                    5.86
16384                   6.26
32768                   7.06
65536                   8.46
131072                 11.26
262144                 16.93
524288                 28.22
1048576                50.69
