# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.42
4                       2.42
8                       2.42
16                      2.42
32                      2.42
64                      2.43
128                     2.45
256                     3.02
512                     3.07
1024                    3.15
2048                    3.33
4096                    3.51
8192                    5.83
16384                   6.27
32768                   7.07
65536                   8.45
131072                 11.31
262144                 16.95
524288                 28.25
1048576                50.73
