# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.42
4                       2.41
8                       2.41
16                      2.42
32                      2.41
64                      2.43
128                     2.45
256                     3.02
512                     3.08
1024                    3.14
2048                    3.31
4096                    3.49
8192                    5.83
16384                   6.25
32768                   6.95
65536                   8.36
131072                 11.25
262144                 16.91
524288                 28.29
1048576                50.73
