# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.41
4                       2.41
8                       2.41
16                      2.41
32                      2.41
64                      2.42
128                     2.45
256                     3.01
512                     3.06
1024                    3.14
2048                    3.33
4096                    3.50
8192                    5.82
16384                   6.30
32768                   6.98
65536                   8.51
131072                 11.31
262144                 16.97
524288                 28.31
1048576                50.71
