# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.42
4                       2.42
8                       2.42
16                      2.42
32                      2.42
64                      2.43
128                     2.46
256                     3.02
512                     3.08
1024                    3.17
2048                    3.34
4096                    3.49
8192                    5.84
16384                   6.25
32768                   7.06
65536                   8.42
131072                 11.24
262144                 16.95
524288                 28.25
1048576                50.72
