# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.38
2                       2.37
4                       2.37
8                       2.37
16                      2.38
32                      2.37
64                      2.38
128                     2.41
256                     2.97
512                     3.02
1024                    3.10
2048                    3.28
4096                    3.44
8192                    5.75
16384                   6.21
32768                   6.95
65536                   8.38
131072                 11.20
262144                 16.85
524288                 28.18
1048576                50.68
