# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.37
4                       2.37
8                       2.37
16                      2.38
32                      2.38
64                      2.39
128                     2.41
256                     2.98
512                     3.02
1024                    3.10
2048                    3.28
4096                    3.43
8192                    5.83
16384                   6.22
32768                   6.95
65536                   8.38
131072                 11.23
262144                 16.90
524288                 28.20
1048576                50.69
