# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.37
4                       2.37
8                       2.37
16                      2.37
32                      2.37
64                      2.38
128                     2.41
256                     2.97
512                     3.02
1024                    3.12
2048                    3.28
4096                    3.43
8192                    5.83
16384                   6.21
32768                   6.92
65536                   8.36
131072                 11.21
262144                 16.91
524288                 28.15
1048576                50.67
